Participant	Age	Condition	TestingMoment	Word	Correct	Score	Phonemes	PhonemesCorrectRelative	PhonemesIncorrectRelative	KnownBeforePassive	KnownBeforeActive	AttentionAllocation	PassiveKnowledge	Lextale	YearsOfDutch	Exposure	ProficiencySelf	BigVocabulary	OnlyMeaning	UnknownWords	SmallDifferences	OtherLanguages
1	22	[+O, +NTH]	Immediate	dobber	Incorrect	0	5	0	5	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	passer	Incorrect	0	5	0	5	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	klos	Incorrect	0	4	0	4	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	vijzel	Incorrect	0	5	0	5	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	slab	Correct	1	4	4	0	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	tooi	Correct	1	3	3	0	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	kous	Incorrect	0	3	0	3	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	gesp	Correct	1	4	4	0	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	sambabal	Partial	0.6	8	5	3	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	tol	Correct	1	3	3	0	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	rammelaar	Partial	0.86	7	6	1	Yes	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	romper	Incorrect	0	6	0	6	Yes	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	stolp	Correct	1	5	5	0	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	waaier	Correct	1	5	5	0	Yes	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	garde	Incorrect	0	5	0	5	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
1	22	[+O, +NTH]	Immediate	lessenaar	Incorrect	0	7	0	7	No	No	NA	18.75	76	2.50	3.33	4.00	4	4	4	4	3
